Waterbody Name,Latitude,Longitude,Collection Date,Level 3 Ecoregion
Chickasawhay River,31.97580556,-88.70547222,2/16/2001,65
Five Mile Creek,31.94183333,-88.52177778,2/12/2001,65
Buffalo River - downstream,31.23877778,-91.34111111,1/9/2001,74
Richardson Creek,31.36294444,-91.01994444,2/12/2001,74
West Fork Amite River (upper),31.16911111,-90.84519444,3/19/2001,74
Bogue Chitto,31.43783333,-90.44616667,3/19/2001,74
Little Tangipahoa River (upper),31.224193,-90.476424,2/13/2001,74
Little Tangipahoa River (lower),31.14363889,-90.45577778,1/5/2001,65
Tickfaw River (upper),31.02383333,-90.64413889,2/11/2001,65
Bowie Creek,31.43441667,-89.43455556,2/15/2001,65
Black Creek,31.19255556,-89.38116667,2/14/2001,65
Black Creek,31.0565,-89.2185,2/6/2001,65
Thompson Creek,31.35688889,-88.92383333,2/11/2001,65
Bogue Homo Creek,31.26184097,-89.00720416,2/6/2001,65
Leaf River,31.22655556,-89.08844444,2/8/2001,65
Thompson Creek,31.26708333,-88.90772222,2/15/2001,65
Atkinson Creek,31.14183333,-88.80038889,2/4/2001,65
Moran Creek,30.68519444,-89.55411111,1/13/2001,65
West Hobolochitto Creek,30.59297222,-89.69422222,2/22/2001,75
Catahoula Creek,30.40633333,-89.50063889,2/22/2001,75
Dead Tiger Creek,30.4225,-89.55902778,2/22/2001,75
Red Creek,30.77991479,-88.91804986,1/23/2001,65
Red Creek,30.79411111,-89.13916667,1/14/2001,65
Tchoutacabouffa River,30.56213889,-88.88580556,2/2/2001,65
Flat Branch,30.45058333,-89.09541667,1/12/2001,75
Black Creek,30.79821878,-88.77523692,2/21/2001,65
Red Creek,30.73763889,-88.78422222,2/21/2001,65
Luxapalilla Creek,33.55975,-88.31727778,3/8/2001,65
Buttahatchie River,33.790164,-88.315337,3/7/2001,65
Hatchie River,34.94025,-88.78644444,3/7/2001,65
Tuscumbia River Canal,34.93088889,-88.59686111,2/6/2001,65
Bowie Creek,31.47355556,-89.52427778,2/22/2001,65
Chickasawhay River,31.87769444,-88.68741667,2/16/2001,65
Escatawpa River,30.82541667,-88.44783333,2/21/2001,65
